Year,Title,Author,Keywords,JEL_Category,Citations,Abstract
2025,Distribution Regression with Sample Selection and UK Wage Decomposition,"Chernozhukov, V; Fernández-Val, I; Luo, SY",SEMIPARAMETRIC ESTIMATION; MODELS; INFERENCE; ESTIMATOR; BIAS; GAP,Economics; Business & Economics,1,"We develop a distribution regression model under endogenous sample selection. This model is a semiparametric generalization of the Heckman selection model, which accommodates much richer patterns of heterogeneity in the effect of covariates and selection process and allows for departures from Gaussian errors while maintaining the same level of tractability. The model applies to continuous, discrete, and mixed outcomes. We provide identification, estimation, and inference methods and apply them to obtain wage decompositions in the United Kingdom. Here we decompose the difference between the male and female wage distributions into composition, wage structure, selection structure, and selection sorting effects."
2025,An Equilibrium Analysis of the Effects of Neighborhood-Based Interventions on Children,"Chyn, E; Daruich, D",INCOME-DISTRIBUTION; PUBLIC-EDUCATION; OPPORTUNITY; CRIME; EXPOSURE; QUALITY; IMPACTS; YOUTH,Economics; Business & Economics,1,"This paper studies housing vouchers and urban redevelopment programs by incorporating neighborhood effects into a general equilibrium overlapping-generations model with endogenous location choice and child development. We calibrate the model using US data and estimate impacts of large-scale implementations of rental voucher and place-based subsidy policies. Our core finding is that vouchers generate long-run welfare gains by reducing inequality and generating skill improvements that offset higher taxation and other GE effects. Although vouchers lead to larger welfare gains on average, we find that place-based subsidies may be preferable in cities with constrained housing supply. (JEL D63, H24, J13, J24, R23, R31, R38)"
2025,Firm Responses and Wage Effects of Foreign Demand Shocks with Fixed Labor Costs and Monopsony,"Dhyne, E; Kikkawa, AK; Komatsu, T; Mogstad, M; Tintelnot, F",TRADE LIBERALIZATION; IMPORT COMPETITION; MARKET; PRODUCTIVITY; INEQUALITY; PREMIUMS; MODELS; SHARE; RISE,Economics; Business & Economics,0,"We quantify the firm responses and real wage effects of foreign demand shocks. We use Belgian microdata to construct firm-specific measures of demand shocks, which capture that firms pass on foreign demand shocks to domestic suppliers. Our estimates of firm responses to these shocks suggest that firms face upward-sloping labor supply curves and have sizable fixed labor costs. We specify a general equilibrium model with these features to quantify the aggregate effects of simulated tariff shocks on wages. We find that ignoring fixed labor costs substantially underestimates aggregate effects on wages, whereas incorporating upward-sloping labor supply appears less consequential. (JEL D22, F13, F16, J22, J31, J42, L25)"
2025,Allocation Mechanisms with Mixture-Averse Preferences,"Dillenberger, D; Segal, U",PROSPECT-THEORY; RISK; LOTTERIES; DECISION; UTILITY; EQUITY; UNCERTAINTY; ASSIGNMENT; EFFICIENCY; REDUCTION,Economics; Business & Economics,0,"Consider an economy with equal amounts of N types of goods, to be allocated to agents with strict quasi-convex preferences over lotteries. We show that ex ante, all Pareto-efficient allocations give almost all agents lotteries over at most two outcomes. Our results provide a simple criterion showing that many popular allocation mechanisms are ex ante inefficient. For the case of identical preferences, we establish existence of an efficient solution where all lotteries used are equally attractive. Assuming the reduction axiom, social welfare deteriorates by first randomizing over these binary lotteries. Efficient ex ante equality is achieved if agents satisfy the compound-independence axiom. (JEL D44, D61, D82)"
2025,"Supply, Demand, Institutions, and Firms: A Theory of Labor Market Sorting and the Wage Distribution","Haanwinckel, D",MINIMUM-WAGE; COMPARATIVE ADVANTAGE; EARNINGS INEQUALITY; TECHNICAL CHANGE; RELATIVE WAGES; SKILLS; KNOWLEDGE; TRADE; ELASTICITIES; ORGANIZATION,Economics; Business & Economics,0,"This paper examines how workforce composition, labor demand, and minimum wage jointly determine wages through their effects on worker-task assignments, firm wage premiums, and firm-worker sorting. Using an estimated model of monopsonistic local labor markets, it finds that minimum wage hikes and labor demand shocks drove the decline in Brazilian wage inequality from 1998 to 2012. While rising educational attainment compressed skill premiums within firms, it also reallocated skilled workers to high-wage firms, limiting that shock's effect on inequality. The analysis highlights interactions among exogenous factors, showing that concurrent supply and demand changes attenuated minimum wage impacts. (JEL J22, J23, J24, J31, J38, J42, R23)"
2025,Downward Rigidity in the Wage for New Hires,"Hazell, J; Taska, B",BUSINESS-CYCLE; REAL WAGES; UNEMPLOYMENT FLUCTUATIONS; CYCLICALITY; SELECTION; BEHAVIOR; PRICES; COST,Economics; Business & Economics,3,"Wage rigidity is an important explanation for unemployment fluctuations. In benchmark models wages for new hires are key, but there is limited evidence on this margin. We use wages posted on vacancies, with job and establishment information, to measure the wage for new hires. We show that our measure of the wage for new hires is rigid downward and flexible upward, in two steps. First, wages change infrequently at the job level, and fall especially rarely. Second, wages do not respond to rises in unemployment, but respond strongly to falls in unemployment. Job information is crucial for detecting downward rigidity."
2025,Strategic Voting in Two-Party Legislative Elections,"Hughes, N",ELECTORAL COMPETITION; POLITICAL COMPETITION; INFORMATION; PLATFORMS; AGGREGATION; POLICIES; VOTES,Economics; Business & Economics,0,"I study multidistrict legislative elections with two parties and two binary dimensions of policy. Strategic voters focus on the dimension where their district is most likely to be pivotal in the legislature. Anticipating this, candidates select different policies than they would in single-district elections. The final policy is (i) uniquely pinned down by voter preferences, (ii) preferred by a majority of districts on each dimension, and (iii) a Condorcet winner if one exists. These properties are not guaranteed in single-district elections. (JEL D71, D72, D81, D91)"
2025,Artificial Intelligence in the Knowledge Economy,"Ide, E; Talamàs, E",ORGANIZATION; HIERARCHIES; GROWTH; IMPACT; SPECIALIZATION; INEQUALITY; MARKET; TASKS; LABOR,Economics; Business & Economics,5,"Artificial intelligence (AI) can transform the knowledge economy by automating noncodifiable work. To analyze this transformation, we incorporate AI into an economy where humans form hierarchical organizations: less knowledgeable individuals become ""workers"" doing routine work, while others become ""solvers"" handling exceptions. We model AI as a technology that converts computational resources into ""AI agents"" that operate autonomously (as coworkers and solvers/copilots) or nonautonomously (solely as copilots). Autonomous AI primarily benefits the most knowledgeable individuals; nonautonomous AI benefits the least knowledgeable. However, output is higher with autonomous AI. These findings reconcile contradictory empirical evidence and reveal trade-offs when regulating AI autonomy."
2025,A Goldilocks Theory of Fiscal Deficits,"Mian, A; Straub, L; Sufi, A",PUBLIC DEBT; MONETARY-POLICY; BUDGET DEFICITS; AGGREGATE DEMAND; GOVERNMENT DEBT; INTEREST-RATES; ASSET BUBBLES; GROWTH; SUSTAINABILITY; MODEL,Economics; Business & Economics,3,"We develop a tractable framework for deficit and debt dynamics. A ""free lunch"" fiscal deficit-one that raises spending without higher future taxes-is sustainable without zero lower bound (ZLB) only when R < G-phi, where phi is the sensitivity of the interest rate to the debt level. With the ZLB, both high and low deficits can increase debt, as the latter weaken demand and reduce nominal growth at the ZLB. A rise in income inequality expands fiscal space outside the ZLB, but contracts it at the ZLB. Calibrating the model, we find little space for ""free lunch"" policies for the United States in 2019, but significant space for Japan."
2025,"The Nature of Long-Term Unemployment: Predictability, Heterogeneity, and Selection","Mueller, AI; Spinnewijn, J",DURATION DEPENDENCE; INSURANCE; MODELS; ASSIGNMENT; BENEFITS; SEARCH,Economics; Business & Economics,0,"This paper studies the predictability of long-term unemployment (LTU) using rich administrative data from Sweden. We establish substantial heterogeneity in LTU risk across individuals, accounting for both observed and unobserved heterogeneity using a wide range of observable predictors and multiple-spell outcomes, respectively. We apply our prediction algorithm to study the dynamics of job finding over the unemployment spell and the business cycle. Selection effects can explain most of the decline in average job finding over the unemployment spell but little of its cyclicality. We also find sizable heterogeneity in the profiles of job finding over the unemployment spell but not over the business cycle."
2025,"Migration, Specialization, and Trade: Evidence from Brazil's March to the West","Pellegrina, HS; Sotelo, S",COMPARATIVE ADVANTAGE; INTERNATIONAL-TRADE; AGGREGATE PRODUCTIVITY; DIFFUSION; MODEL; CONSEQUENCES; AGRICULTURE; KNOWLEDGE; COUNTRIES; GEOGRAPHY,Economics; Business & Economics,1,"We study how migration shapes aggregate and regional comparative advantage, exploiting a large migration of farmers to Brazil's West between 1950 and 2010. Migration allowed workers to sort according to their own comparative advantage, reallocating knowledge and raw labor to high-productivity regions. In a quantitative model, we find that migration cost reductions reshaped Brazil's comparative advantage and contributed to its rise as a leading commodity exporter-accounting for 25% of the observed changes in specialization. Road expansions were key drivers of migration. Migration opportunities, moreover, account for a substantial share of the gains from trade."
2025,Time-Limited Subsidies: Optimal Taxation with Implications for Renewable Energy Subsidies,"Ricks, MD; Kay, O",ENVIRONMENTAL BENEFITS; INVESTMENT; POLICY; INCENTIVES; EXTERNALITIES; MARKET; COST,Economics; Business & Economics,0,"Pigouvian subsidies are efficient, but output subsidies with uncertain or limited durations are not Pigouvian. We show that optimal time-limited policies must also subsidize investment to correct externalities generated after the output subsidy ends. Furthermore, an output subsidy's optimal duration is characterized by the change in production when it ends. In the wind energy industry, we find that power generation decreases by 5%-10% after the end of facilities' 10-year eligibility for the Renewable Energy Production Tax Credit. This behavioral response has implications for energy transitions and highlights how time limits could cause larger distortions in more elastic industries."
2025,Taxes Depress Corporate Borrowing: Evidence from Private Firms,"Ivanov, IT; Pettit, L; Whited, TM",Corporate leverage; Taxes; CAPITAL STRUCTURE; FINANCIAL CONSTRAINTS; DEBT; INVESTMENT; STATE; SENSITIVITY; TAXATION; POLICY; MODEL; CUTS,Economics; Business & Economics,2,"We use variation in state corporate income tax rates to re-examine the relation between taxes and corporate leverage. Contrary to prior research, corporate leverage rises after tax cuts for small private firms. An estimated dynamic equilibrium model shows that tax cuts make capital more productive and spur the use of leverage. Tax cuts also produce more distant default thresholds and lower credit spreads. These effects outweigh the lower interest tax deduction and lead to higher optimal leverage choices, especially for firms with flexible investment policies. The presence of the interest tax deduction raises consumer welfare in equilibrium."
2025,Demand Analysis under Latent Choice Constraints,"Agarwal, N; Somaini, P",Demand estimation; Dialysis; Matching; SCHOOL CHOICE; MARKET; IDENTIFICATION; MODELS; SEARCH; CHOOSE,Economics; Business & Economics,0,"Consumer choices are constrained in many markets due to either supply-side rationing or information frictions. Examples include matching markets for schools and colleges; entry-level labour markets; limited brand awareness and inattention in consumer markets; and selective admissions to healthcare services. We analyse a general random utility model for consumer preferences that allows for endogenous characteristics and a reduced-form choice-set formation rule that can be derived from models of the examples described above. We show non-parametric identification of this model, propose an estimator, and apply these methods to study admissions in the market for kidney dialysis in California. Our identification results require two sets of instruments, one that only affects consumer preferences and the other that only affects choice sets. We show that both instruments are necessary for identification. These results also suggest tests of choice-set constraints, which we apply to the dialysis market. We find that dialysis facilities are less likely to admit new patients when they have a higher-than-normal caseload and that patients are more likely to travel further when nearby facilities have high caseloads. Finally, we estimate consumers' preferences and facilities' rationing rules using a Gibbs sampler."
2025,"Diversification, Market Entry, and the Global Internet Backbone","Caoui, E; Steck, A",Diversification; Supply disruptions; Internet backbone; Dynamic entry games; DISCRETE-CHOICE MODELS; SEQUENTIAL ESTIMATION; PRODUCT VARIETY; FLUCTUATIONS; RELIABILITY; DEMAND,Economics; Business & Economics,0,"In many industries, buyers diversify their supplier base to manage supplier disruption risk. We investigate the importance of such diversification as a determinant of demand and supplier entry in the context of the internet backbone, the worldwide network of undersea fibre-optic cables that underpins the internet. We specify a model of international bandwidth demand and cable operators' dynamic entry and supply choices. The model is estimated using novel data on cross-border data flows, prices, cable characteristics, and disruptions. Counterfactual analysis reveals that supplier diversification accounts for a large share of entry and surplus created between 2005 and 2021. Relative to the socially optimal level of entry, distortions due to suppliers' inability to capture fully the social benefits of diversity are as large as distortions due to business stealing."
2025,To Own or to Rent? The Effects of Transaction Taxes on Housing Markets,"Han, L; Ngai, LR; Sheedy, KD",Rental market; Buy-to-rent investors; Homeownership rate; Transaction taxes; HOMEOWNERSHIP; CANADA,Economics; Business & Economics,2,"Using sales and leasing data, this paper finds three novel effects of a higher property transaction tax: higher buy-to-rent transactions alongside lower buy-to-own transactions despite both being taxed, a lower sales-to-leases ratio, and a lower price-to-rent ratio. This paper explains these facts by developing a search model with entry of investors and households, households choosing to own or rent in the presence of credit frictions, and homeowners deciding when to move house. A higher transaction tax reduces homeowners' mobility and increases demand for rental properties, which explains the empirical facts and leads to a lower homeownership rate. The deadweight loss is large at 111% of tax revenue, with more than half of this due to distorting decisions to own or rent."
2025,Slum Upgrading and Long-Run Urban Development: Evidence from Indonesia,"Harari, M; Wong, M",Cities; Urbanization; Housing; Land markets; Informality; PROPERTY-RIGHTS; LAND; INFRASTRUCTURE; DETERMINANTS; ECONOMICS; INCOME,Economics; Business & Economics,2,"Developing countries face massive urbanization and slum upgrading is a popular policy to improve shelter for many. Yet, preserving slums at the expense of formal developments can raise concerns of misallocation of land. We estimate causal, long-term impacts of the 1969-84 KIP programme, which provided basic upgrades to 5 million residents covering 25% of land in Jakarta, Indonesia. We assemble high-resolution data on programme boundaries and 2015 outcomes and address programme selection bias through localized comparisons. On average, KIP areas today have lower land values, shorter buildings, and are more informal, per a photographs-based slum index. The negative effects are concentrated within 5 km of the CBD. We develop a spatial equilibrium model to characterize the welfare implications of KIP. Counterfactuals suggest that 79% of the welfare effects stem from removing KIP in the centre and highlight how to mitigate losses to displaced residents."
2025,"Structural Change, Land Use and Urban Expansion","Coeurdacier, N; Oswald, F; Teignier, M",Structural change; Land use; Productivity growth; Urban density; AGRICULTURAL PRODUCTIVITY; HOUSE PRICES; INCOME; GROWTH; MODEL; URBANIZATION,Economics; Business & Economics,2,"How do cities grow in the process of structural transformation? To answer this question, we develop a multi-sector spatial equilibrium model with endogenous land use: land is used either for agriculture or housing. Urban land, densely populated due to commuting frictions, expands out of agricultural land. With low productivity and high subsistence needs, farmland is expensive, households cannot afford large homes and cities are very dense. Increasing productivity reallocates factors away from agriculture, freeing up land for urban expansion and limiting the increase in land values despite higher income and urban population. With the area of cities growing faster than urban population, urban density can persistently decline, as in the data over a long period. The quantitative evaluation calibrated to historical data assembled for France over 180 years explains a large fraction of the joint evolution of urban areas, population density and land values across time and space."
2025,Just a Few Seeds More: The Value of Network Data for Diffusion,"Akbarpour, M; Malladi, S; Saberi, A",SOCIAL NETWORKS; CONTAGION,Economics; Business & Economics,1,"Identifying the optimal set of individuals to first receive information (""seeds"") in a social network to maximize expected diffusion is a widely studied question in many settings. Several studies propose network-centrality-based heuristics to select seeds likely to increase diffusion. Here, we show that, for the classic independent cascade model of diffusion, either seeding a few more individuals at random can prompt a larger diffusion than optimal seeding or optimal seeding itself results in limited spread. These findings hold across a broad range of random networks and are supported by simulations on real-world networks. (JEL D83, D85, O12, O18, P25, P32, Z13)"
2025,Borrowing and Spending in the Money: Debt Substitution and the Cash-Out Refinance Channel of Monetary PolicyIndian Rupee,"Anenberg, E; Scharlemann, T; van Straelen, E",CONSUMPTION EVIDENCE; FEDERAL-RESERVE; HOME EQUITY; MORTGAGE; IDENTIFICATION; PURCHASES; RATES,Economics; Business & Economics,1,"We show that the strong negative effect of higher mortgage rates on cash-out refinancing reflects substitution into other borrowing products, not large changes in total new household borrowing. We exploit plausibly exogenous changes in interest rates due to unconventional monetary policy surprises to show that changes in cash-out and other borrowing are roughly offsetting. The elasticity of new household borrowing with respect to mortgage rates is low and varies little with the borrower's outstanding mortgage rate. Our results suggest that the cash-out refinance channel of unconventional monetary policy is weak and not path dependent. (JEL E43, E52, G21, G51)"
2025,Adapting to Misspecification,"Armstrong, TB; Kline, P; Sun, LY",Adaptive estimation; minimax procedures; specification testing; shrinkage; robustness; SELECTION,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability; Business & Economics; Mathematics; Mathematical Methods In Social Sciences",1,"Empirical research typically involves a robustness-efficiency tradeoff. A researcher seeking to estimate a scalar parameter can invoke strong assumptions to motivate a restricted estimator that is precise but may be heavily biased, or they can relax some of these assumptions to motivate a more robust, but variable, unrestricted estimator. When a bound on the bias of the restricted estimator is available, it is optimal to shrink the unrestricted estimator towards the restricted estimator. For settings where a bound on the bias of the restricted estimator is unknown, we propose adaptive estimators that minimize the percentage increase in worst-case risk relative to an oracle that knows the bound. We show that adaptive estimators solve a weighted convex minimax problem and provide lookup tables facilitating their rapid computation. Revisiting some well-known empirical studies where questions of model specification arise, we examine the advantages of adapting to-rather than testing for-misspecification."
